sampleID	Type
TCGA-02-2485-01	Classical
TCGA-06-0158-01	Classical
TCGA-06-0187-01	Classical
TCGA-06-0743-01	Classical
TCGA-06-0744-01	Classical
TCGA-06-1804-01	Classical
TCGA-06-2563-01	Classical
TCGA-06-2565-01	Classical
TCGA-06-5408-01	Classical
TCGA-12-3652-01	Classical
TCGA-12-3653-01	Classical
TCGA-14-0790-01	Classical
TCGA-15-0742-01	Classical
TCGA-19-2619-01	Classical
TCGA-26-5132-01	Classical
TCGA-27-1835-01	Classical
TCGA-27-1837-01	Classical
TCGA-27-2523-01	Classical
TCGA-27-2528-01	Classical
TCGA-28-5220-01	Classical
TCGA-32-1970-01	Classical
TCGA-32-2638-01	Classical
TCGA-41-2572-01	Classical
